url_path,views_total,views_unique
/legorovers/pirover_simulator,32,15
/legorovers/pirover_simulator/tree/master,18,5
/legorovers/pirover_simulator/issues/27,16,12
/legorovers/pirover_simulator/issues,15,8
/legorovers/pirover_simulator/pull/28,12,4
/legorovers/pirover_simulator/pulls,11,7
/legorovers/pirover_simulator/fork,9,5
/legorovers/pirover_simulator/blob/github-repo-stats/legorovers/pirover_simulator/latest-report/report.pdf,4,2
/legorovers/pirover_simulator/branches,4,2
/legorovers/pirover_simulator/blob/master/requirements.txt,3,2
