time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-24 00:00:00+00:00,37,7,0,0
2026-01-25 00:00:00+00:00,21,6,0,0
2026-01-26 00:00:00+00:00,20,5,0,0
2026-01-27 00:00:00+00:00,20,5,0,0
2026-01-28 00:00:00+00:00,9,5,0,0
2026-01-29 00:00:00+00:00,34,8,0,0
2026-01-30 00:00:00+00:00,21,6,0,0
2026-01-31 00:00:00+00:00,17,6,0,0
2026-02-01 00:00:00+00:00,22,7,0,0
2026-02-02 00:00:00+00:00,28,9,0,0
2026-02-03 00:00:00+00:00,19,4,0,0
2026-02-04 00:00:00+00:00,16,5,1,1
2026-02-05 00:00:00+00:00,9,5,11,2
2026-02-06 00:00:00+00:00,3,3,0,0
