time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-15 00:00:00+00:00,25,6,0,0
2026-03-16 00:00:00+00:00,16,5,0,0
2026-03-17 00:00:00+00:00,7,3,0,0
2026-03-18 00:00:00+00:00,39,9,0,0
2026-03-19 00:00:00+00:00,17,5,0,0
2026-03-20 00:00:00+00:00,1,1,0,0
2026-03-21 00:00:00+00:00,36,6,0,0
2026-03-22 00:00:00+00:00,24,5,0,0
2026-03-23 00:00:00+00:00,21,6,0,0
2026-03-24 00:00:00+00:00,8,4,0,0
2026-03-25 00:00:00+00:00,19,4,0,0
2026-03-26 00:00:00+00:00,22,7,0,0
2026-03-27 00:00:00+00:00,20,5,0,0
2026-03-28 00:00:00+00:00,26,7,0,0
