url_path,views_total,views_unique
/legorovers/pirover_simulator,44,23
/legorovers/pirover_simulator/issues,34,13
/legorovers/pirover_simulator/pulls,15,7
/legorovers/pirover_simulator/issues/26,8,4
/legorovers/pirover_simulator/issues/14,7,4
/legorovers/pirover_simulator/blob/github-repo-stats/legorovers/pirover_simulator/latest-report/report.pdf,7,1
/legorovers/pirover_simulator/tree/github-repo-stats/legorovers/pirover_simulator/latest-report,7,1
/legorovers/pirover_simulator/fork,6,4
/legorovers/pirover_simulator/tree/github-repo-stats/legorovers/pirover_simulator,6,1
/legorovers/pirover_simulator/issues/21,5,4
