url_path,views_total,views_unique
/legorovers/pirover_simulator,40,23
/legorovers/pirover_simulator/issues,31,12
/legorovers/pirover_simulator/pulls,12,6
/legorovers/pirover_simulator/blob/github-repo-stats/legorovers/pirover_simulator/latest-report/report.pdf,9,2
/legorovers/pirover_simulator/issues/18,8,7
/legorovers/pirover_simulator/issues/26,8,4
/legorovers/pirover_simulator/tree/master,8,3
/legorovers/pirover_simulator/tree/github-repo-stats/legorovers/pirover_simulator/latest-report,8,1
/legorovers/pirover_simulator/issues/14,7,4
/legorovers/pirover_simulator/tree/github-repo-stats/legorovers/pirover_simulator,7,1
