url_path,views_total,views_unique
/legorovers/pirover_simulator/pull/35,34,16
/legorovers/pirover_simulator,28,14
/legorovers/pirover_simulator/issues,7,2
/legorovers/pirover_simulator/pull/29,6,6
/legorovers/pirover_simulator/tree/master,5,4
/legorovers/pirover_simulator/pull/35/files,5,2
/legorovers/pirover_simulator/tree/github-repo-stats/legorovers/pirover_simulator,5,2
/legorovers/pirover_simulator/blob/master/README.md,4,3
/legorovers/pirover_simulator/blob/master/requirements.txt,4,3
/legorovers/pirover_simulator/pulls,4,2
