time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-27 00:00:00+00:00,26,8,0,0
2026-02-28 00:00:00+00:00,21,7,0,0
2026-03-01 00:00:00+00:00,22,8,0,0
2026-03-02 00:00:00+00:00,21,7,0,0
2026-03-03 00:00:00+00:00,25,7,0,0
2026-03-04 00:00:00+00:00,15,5,0,0
2026-03-05 00:00:00+00:00,12,2,0,0
2026-03-06 00:00:00+00:00,26,7,0,0
2026-03-07 00:00:00+00:00,24,5,0,0
2026-03-08 00:00:00+00:00,24,5,0,0
2026-03-09 00:00:00+00:00,22,6,0,0
2026-03-10 00:00:00+00:00,12,4,0,0
2026-03-11 00:00:00+00:00,22,7,0,0
2026-03-12 00:00:00+00:00,15,4,0,0
