time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-03 00:00:00+00:00,19,4,0,0
2026-02-04 00:00:00+00:00,16,5,1,1
2026-02-05 00:00:00+00:00,9,5,11,2
2026-02-06 00:00:00+00:00,3,3,0,0
2026-02-07 00:00:00+00:00,13,9,0,0
2026-02-08 00:00:00+00:00,26,12,2,2
2026-02-09 00:00:00+00:00,25,7,0,0
2026-02-10 00:00:00+00:00,20,6,0,0
2026-02-11 00:00:00+00:00,18,6,0,0
2026-02-12 00:00:00+00:00,33,8,0,0
2026-02-13 00:00:00+00:00,20,6,0,0
2026-02-14 00:00:00+00:00,18,4,0,0
2026-02-15 00:00:00+00:00,33,10,0,0
2026-02-16 00:00:00+00:00,27,9,0,0
