time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-08 00:00:00+00:00,24,5,0,0
2026-03-09 00:00:00+00:00,22,6,0,0
2026-03-10 00:00:00+00:00,12,4,0,0
2026-03-11 00:00:00+00:00,22,7,0,0
2026-03-12 00:00:00+00:00,15,4,0,0
2026-03-13 00:00:00+00:00,30,7,0,0
2026-03-14 00:00:00+00:00,28,9,0,0
2026-03-15 00:00:00+00:00,25,6,0,0
2026-03-16 00:00:00+00:00,16,5,0,0
2026-03-17 00:00:00+00:00,7,3,0,0
2026-03-18 00:00:00+00:00,39,9,0,0
2026-03-19 00:00:00+00:00,17,5,0,0
2026-03-20 00:00:00+00:00,1,1,0,0
2026-03-21 00:00:00+00:00,36,6,0,0
