time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-29 00:00:00+00:00,1,1,0,0
2026-06-30 00:00:00+00:00,13,4,0,0
2026-07-01 00:00:00+00:00,11,6,0,0
2026-07-02 00:00:00+00:00,17,8,0,0
2026-07-03 00:00:00+00:00,19,6,0,0
2026-07-04 00:00:00+00:00,16,6,0,0
2026-07-05 00:00:00+00:00,17,8,1,1
2026-07-06 00:00:00+00:00,16,6,0,0
2026-07-07 00:00:00+00:00,25,5,0,0
2026-07-08 00:00:00+00:00,25,6,0,0
2026-07-09 00:00:00+00:00,15,6,0,0
2026-07-10 00:00:00+00:00,2,2,0,0
2026-07-11 00:00:00+00:00,20,4,0,0
2026-07-12 00:00:00+00:00,2,2,0,0
