url_path,views_total,views_unique
/legorovers/pirover_simulator,12,2
/legorovers/pirover_simulator/actions/runs/10777487093,7,2
/legorovers/pirover_simulator/actions/workflows/github-repo-stats.yml,6,2
/legorovers/pirover_simulator/commits/master,4,2
/legorovers/pirover_simulator/actions,3,2
/legorovers/pirover_simulator/blob/master/.github/workflows/github-repo-stats.yml,3,1
/legorovers/pirover_simulator/tree/master/examples,3,1
/legorovers/pirover_simulator/actions/runs/10777487093/job/29948300333,2,2
/legorovers/pirover_simulator/actions/runs/10777487093/workflow,2,2
/legorovers/pirover_simulator/actions/runs/10777487093/job/29886680788,2,1
