time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-27 00:00:00+00:00,20,5,0,0
2026-04-28 00:00:00+00:00,29,6,0,0
2026-04-29 00:00:00+00:00,39,9,0,0
2026-04-30 00:00:00+00:00,36,6,0,0
2026-05-01 00:00:00+00:00,35,6,0,0
2026-05-02 00:00:00+00:00,38,7,0,0
2026-05-03 00:00:00+00:00,36,11,0,0
2026-05-04 00:00:00+00:00,39,10,0,0
2026-05-05 00:00:00+00:00,32,6,0,0
2026-05-06 00:00:00+00:00,37,9,0,0
2026-05-07 00:00:00+00:00,26,7,0,0
2026-05-08 00:00:00+00:00,42,10,0,0
2026-05-09 00:00:00+00:00,16,7,0,0
2026-05-10 00:00:00+00:00,12,3,0,0
