time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-18 00:00:00+00:00,6,6,0,0
2026-01-19 00:00:00+00:00,18,4,0,0
2026-01-20 00:00:00+00:00,32,10,0,0
2026-01-21 00:00:00+00:00,19,5,0,0
2026-01-22 00:00:00+00:00,21,7,0,0
2026-01-23 00:00:00+00:00,8,4,0,0
2026-01-24 00:00:00+00:00,37,7,0,0
2026-01-25 00:00:00+00:00,21,6,0,0
2026-01-26 00:00:00+00:00,20,5,0,0
2026-01-27 00:00:00+00:00,20,5,0,0
2026-01-28 00:00:00+00:00,9,5,0,0
2026-01-29 00:00:00+00:00,34,8,0,0
2026-01-30 00:00:00+00:00,21,6,0,0
2026-01-31 00:00:00+00:00,17,6,0,0
