time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-24 00:00:00+00:00,1.0,1.0,,
2025-01-25 00:00:00+00:00,,,3.0,3.0
2025-01-28 00:00:00+00:00,1.0,1.0,11.0,1.0
2025-01-29 00:00:00+00:00,1.0,1.0,,
2025-01-30 00:00:00+00:00,4.0,3.0,1.0,1.0
2025-01-31 00:00:00+00:00,2.0,2.0,,
2025-02-01 00:00:00+00:00,2.0,2.0,4.0,3.0
2025-02-02 00:00:00+00:00,1.0,1.0,,
2025-02-03 00:00:00+00:00,9.0,7.0,30.0,1.0
2025-02-04 00:00:00+00:00,3.0,3.0,,
2025-02-05 00:00:00+00:00,11.0,6.0,,
2025-02-06 00:00:00+00:00,8.0,8.0,,
