time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-02 00:00:00+00:00,14,9,2,2
2026-04-03 00:00:00+00:00,9,5,0,0
2026-04-04 00:00:00+00:00,28,9,0,0
2026-04-05 00:00:00+00:00,31,7,0,0
2026-04-06 00:00:00+00:00,9,4,0,0
2026-04-07 00:00:00+00:00,20,6,0,0
2026-04-08 00:00:00+00:00,33,10,0,0
2026-04-09 00:00:00+00:00,22,6,0,0
2026-04-10 00:00:00+00:00,23,7,0,0
2026-04-11 00:00:00+00:00,51,14,0,0
2026-04-12 00:00:00+00:00,25,7,0,0
2026-04-13 00:00:00+00:00,32,9,0,0
2026-04-14 00:00:00+00:00,15,4,0,0
2026-04-15 00:00:00+00:00,6,6,0,0
